Neo_score,Egencia Analytics Studio_score,Meetings & Events_score,Travel Consulting_score,account_id,Neo_current,Egencia Analytics Studio_current,Meetings & Events_current,Travel Consulting_current
0.00036799067,0.00020259888,6.501651e-05,0.00029355023,ACCT-00000,0.0,0.0,0.0,0.0
0.00028880764,0.00015430393,5.1955732e-05,0.00024239457,ACCT-00001,0.0,0.0,0.0,0.0
0.6081249,0.23284443,0.17539243,0.8991135,ACCT-00002,0.0,0.0,0.0,1.0
0.00095780805,0.0013155694,0.00069338735,0.0005819391,ACCT-00003,0.0,0.0,0.0,0.0
0.0006616848,0.00040177646,0.00078252103,0.0016378235,ACCT-00004,0.0,0.0,0.0,0.0
0.27459544,0.9662328,0.97664815,0.9806143,ACCT-00005,0.0,1.0,1.0,1.0
0.9245099,0.30787888,0.10684466,0.24021105,ACCT-00006,1.0,0.0,0.0,0.0
0.0004082548,0.00019490827,7.981833e-05,0.00023888859,ACCT-00007,0.0,0.0,0.0,0.0
0.00069593545,0.0029269406,0.0005295052,0.0004605137,ACCT-00008,0.0,0.0,0.0,0.0
0.0010695206,0.0006476698,0.00040305118,0.000786894,ACCT-00009,0.0,0.0,0.0,0.0
0.9717103,0.20068958,0.9624163,0.9715408,ACCT-00010,1.0,0.0,1.0,1.0
0.00039373094,0.00093723653,0.00052940304,0.0011191356,ACCT-00011,0.0,0.0,0.0,0.0
0.0003805105,0.0002091623,8.33728e-05,0.00024015925,ACCT-00012,0.0,0.0,0.0,0.0
0.0003647418,0.00023792977,6.544354e-05,0.00027200233,ACCT-00013,0.0,0.0,0.0,0.0
0.00032098548,0.00015935696,5.4603806e-05,0.00024385005,ACCT-00014,0.0,0.0,0.0,0.0
0.9798203,0.9732699,0.6501584,0.9773818,ACCT-00015,1.0,1.0,0.0,1.0
0.87439406,0.1909976,0.35045406,0.22980163,ACCT-00016,1.0,0.0,0.0,0.0
0.0002756539,9.6205564e-05,5.777284e-05,0.00021033867,ACCT-00017,0.0,0.0,0.0,0.0
0.892185,0.10550754,0.3031101,0.24325013,ACCT-00018,1.0,0.0,0.0,0.0
0.00039188747,0.00023792977,7.161536e-05,0.00024807418,ACCT-00019,0.0,0.0,0.0,0.0
0.0003805105,0.0002091623,8.433811e-05,0.00024015925,ACCT-00020,0.0,0.0,0.0,0.0
0.0005112628,0.00035745645,0.0010058407,0.0012306876,ACCT-00021,0.0,0.0,0.0,0.0
0.00039188747,0.00023792977,6.847809e-05,0.00024807418,ACCT-00022,0.0,0.0,0.0,0.0
0.003921201,0.00085744873,0.0003201203,0.00055108126,ACCT-00023,0.0,0.0,0.0,0.0
0.32871723,0.88341135,0.38745397,0.13348551,ACCT-00024,0.0,1.0,0.0,0.0
0.83306,0.30629587,0.29050863,0.1871156,ACCT-00025,1.0,0.0,0.0,0.0
0.0009806593,0.000557601,0.0007578416,0.0010774189,ACCT-00026,0.0,0.0,0.0,0.0
0.0002756539,9.553792e-05,5.4516444e-05,0.00023095704,ACCT-00027,0.0,0.0,0.0,0.0
0.6946324,0.9554379,0.970982,0.96727663,ACCT-00028,0.0,1.0,1.0,1.0
0.53051466,0.777325,0.76812947,0.7762352,ACCT-00029,1.0,0.0,0.0,1.0
0.9439449,0.1378785,0.91930455,0.37532747,ACCT-00030,1.0,0.0,1.0,0.0
0.0003647418,0.00023792977,6.544354e-05,0.00026355925,ACCT-00031,0.0,0.0,0.0,0.0
0.00032098548,0.00015935696,5.4603806e-05,0.00024385005,ACCT-00032,0.0,0.0,0.0,0.0
0.44607908,0.10352141,0.19483685,0.3792649,ACCT-00033,0.0,0.0,1.0,0.0
0.001057642,0.00046280294,0.0005859132,0.0010766264,ACCT-00034,0.0,0.0,0.0,0.0
0.898342,0.07155706,0.29801095,0.2110559,ACCT-00035,1.0,0.0,0.0,0.0
0.11051788,0.19480737,0.19902568,0.8866498,ACCT-00036,0.0,0.0,0.0,1.0
0.00066350575,0.00095053436,0.00021689656,0.0007482394,ACCT-00037,0.0,0.0,0.0,0.0
0.0007888396,0.00049296505,0.0008688634,0.0009551298,ACCT-00038,0.0,0.0,0.0,0.0
0.0006886471,0.0017879009,0.0005709118,0.0011441458,ACCT-00039,0.0,0.0,0.0,0.0
0.00035011585,0.00016774292,6.0653252e-05,0.00022651361,ACCT-00040,0.0,0.0,0.0,0.0
0.90178096,0.06696149,0.08145016,0.4858147,ACCT-00041,1.0,0.0,0.0,0.0
0.0003647418,0.000403436,6.828051e-05,0.00027269695,ACCT-00042,0.0,0.0,0.0,0.0
0.048812274,0.24601874,0.5980119,0.1002317,ACCT-00043,0.0,0.0,1.0,0.0
0.08300171,0.93234956,0.27711746,0.2084263,ACCT-00044,0.0,1.0,0.0,0.0
0.00037533892,0.00020462161,5.537443e-05,0.0002565041,ACCT-00045,0.0,0.0,0.0,0.0
0.00028183838,0.00017180826,5.1955732e-05,0.00024385005,ACCT-00046,0.0,0.0,0.0,0.0
0.0007720558,0.0010477019,0.0015778623,0.00094439276,ACCT-00047,0.0,0.0,0.0,0.0
0.0014948295,0.00093645364,0.0007792436,0.0011214323,ACCT-00048,0.0,0.0,0.0,0.0
0.0002756539,9.6205564e-05,5.777284e-05,0.00021033867,ACCT-00049,0.0,0.0,0.0,0.0
0.000834706,0.0001991742,0.0007555061,0.0004394184,ACCT-00050,0.0,0.0,0.0,0.0
0.5821624,0.06909544,0.50058043,0.33028165,ACCT-00051,0.0,1.0,0.0,0.0
0.0008045749,0.0003296008,0.00018689247,0.0007686551,ACCT-00052,0.0,0.0,0.0,0.0
0.00040014126,0.00023792977,7.161536e-05,0.0002480115,ACCT-00053,0.0,0.0,0.0,0.0
0.22056696,0.9665403,0.8822458,0.44870076,ACCT-00054,0.0,1.0,1.0,0.0
