account_id,top_1_product,top_1_score,top_2_product,top_2_score,num_products_current
ACCT-00000,Neo,0.0003679906658362597,Travel Consulting,0.00029355022707022727,0.0
ACCT-00001,Neo,0.0002888076414819807,Travel Consulting,0.00024239456979557872,0.0
ACCT-00002,Neo,0.6081249117851257,Egencia Analytics Studio,0.23284442722797394,1.0
ACCT-00003,Egencia Analytics Studio,0.00131556938868016,Neo,0.0009578080498613417,0.0
ACCT-00004,Travel Consulting,0.001637823530472815,Meetings & Events,0.0007825210341252387,0.0
ACCT-00005,Neo,0.2745954394340515,,0.0,3.0
ACCT-00006,Egencia Analytics Studio,0.30787888169288635,Travel Consulting,0.24021105468273163,1.0
ACCT-00007,Neo,0.0004082547966390848,Travel Consulting,0.00023888859141152352,0.0
ACCT-00008,Egencia Analytics Studio,0.0029269405640661716,Neo,0.0006959354504942894,0.0
ACCT-00009,Neo,0.0010695206001400948,Travel Consulting,0.0007868940010666847,0.0
ACCT-00010,Egencia Analytics Studio,0.20068958401679993,,0.0,3.0
ACCT-00011,Travel Consulting,0.001119135646149516,Egencia Analytics Studio,0.0009372365311719477,0.0
ACCT-00012,Neo,0.0003805104934144765,Travel Consulting,0.00024015925009734929,0.0
ACCT-00013,Neo,0.00036474180524237454,Travel Consulting,0.00027200233307667077,0.0
ACCT-00014,Neo,0.0003209854767192155,Travel Consulting,0.00024385005235671997,0.0
ACCT-00015,Meetings & Events,0.6501584053039551,,0.0,3.0
ACCT-00016,Meetings & Events,0.35045406222343445,Travel Consulting,0.22980162501335144,1.0
ACCT-00017,Neo,0.0002756539033725858,Travel Consulting,0.00021033866505604237,0.0
ACCT-00018,Meetings & Events,0.3031100928783417,Travel Consulting,0.24325013160705566,1.0
ACCT-00019,Neo,0.0003918874717783183,Travel Consulting,0.0002480741823092103,0.0
ACCT-00020,Neo,0.0003805104934144765,Travel Consulting,0.00024015925009734929,0.0
ACCT-00021,Travel Consulting,0.0012306876014918089,Meetings & Events,0.0010058407206088305,0.0
ACCT-00022,Neo,0.0003918874717783183,Travel Consulting,0.0002480741823092103,0.0
ACCT-00023,Neo,0.00392120098695159,Egencia Analytics Studio,0.0008574487292207778,0.0
ACCT-00024,Meetings & Events,0.38745397329330444,Neo,0.3287172317504883,1.0
ACCT-00025,Egencia Analytics Studio,0.30629587173461914,Meetings & Events,0.2905086278915405,1.0
ACCT-00026,Travel Consulting,0.001077418914064765,Neo,0.0009806592715904117,0.0
ACCT-00027,Neo,0.0002756539033725858,Travel Consulting,0.0002309570409124717,0.0
ACCT-00028,Neo,0.6946324110031128,,0.0,3.0
ACCT-00029,Egencia Analytics Studio,0.7773249745368958,Meetings & Events,0.7681294679641724,2.0
ACCT-00030,Travel Consulting,0.375327467918396,Egencia Analytics Studio,0.13787850737571716,2.0
ACCT-00031,Neo,0.00036474180524237454,Travel Consulting,0.0002635592536535114,0.0
ACCT-00032,Neo,0.0003209854767192155,Travel Consulting,0.00024385005235671997,0.0
ACCT-00033,Neo,0.4460790753364563,Travel Consulting,0.3792648911476135,1.0
ACCT-00034,Travel Consulting,0.0010766263585537672,Neo,0.0010576420463621616,0.0
ACCT-00035,Meetings & Events,0.2980109453201294,Travel Consulting,0.2110559046268463,1.0
ACCT-00036,Meetings & Events,0.19902567565441132,Egencia Analytics Studio,0.19480736553668976,1.0
ACCT-00037,Egencia Analytics Studio,0.0009505343623459339,Travel Consulting,0.0007482393993996084,0.0
ACCT-00038,Travel Consulting,0.0009551297989673913,Meetings & Events,0.0008688634261488914,0.0
ACCT-00039,Egencia Analytics Studio,0.0017879009246826172,Travel Consulting,0.0011441458482295275,0.0
ACCT-00040,Neo,0.00035011584986932576,Travel Consulting,0.0002265136135974899,0.0
ACCT-00041,Travel Consulting,0.4858146905899048,Meetings & Events,0.08145015686750412,1.0
ACCT-00042,Egencia Analytics Studio,0.00040343598811887205,Neo,0.00036474180524237454,0.0
ACCT-00043,Egencia Analytics Studio,0.24601873755455017,Travel Consulting,0.10023169964551926,1.0
ACCT-00044,Meetings & Events,0.27711746096611023,Travel Consulting,0.20842629671096802,1.0
ACCT-00045,Neo,0.0003753389173652977,Travel Consulting,0.0002565041068010032,0.0
ACCT-00046,Neo,0.0002818383800331503,Travel Consulting,0.00024385005235671997,0.0
ACCT-00047,Meetings & Events,0.0015778623055666685,Egencia Analytics Studio,0.0010477019241079688,0.0
ACCT-00048,Neo,0.0014948295429348946,Travel Consulting,0.0011214322876185179,0.0
ACCT-00049,Neo,0.0002756539033725858,Travel Consulting,0.00021033866505604237,0.0
ACCT-00050,Neo,0.0008347060065716505,Meetings & Events,0.0007555061019957066,0.0
ACCT-00051,Neo,0.5821623802185059,Meetings & Events,0.5005804300308228,1.0
ACCT-00052,Neo,0.0008045749273151159,Travel Consulting,0.000768655096180737,0.0
ACCT-00053,Neo,0.00040014125988818705,Travel Consulting,0.0002480114926584065,0.0
ACCT-00054,Travel Consulting,0.44870075583457947,Neo,0.22056695818901062,2.0
ACCT-00055,Egencia Analytics Studio,0.0008852399769239128,Meetings & Events,0.0005816100165247917,0.0
ACCT-00056,Neo,0.000343934545526281,Travel Consulting,0.00024018740805331618,0.0
